epoch,velocity: 20,velocity: 25,velocity: 30,velocity: 35,velocity: 40,velocity: 45,velocity: 50
1,70.36354750394821,70.24437892436981,70.27119505405426,70.32044887542725,70.11414074897766,70.23825526237488,70.02803868055344
2,69.51614785194397,69.42805337905884,69.50489217042923,69.02003329992294,69.53873074054718,69.35057753324509,69.12487804889679
3,69.0395810008049,68.73714196681976,68.28398185968399,67.36310744285583,69.04995906352997,68.37547266483307,67.20826041698456
4,67.14863985776901,67.36009645462036,64.25621539354324,63.03343719244003,67.64580851793289,66.31949043273926,60.744953632354736
5,62.76637423038483,65.26757764816284,52.250295996665955,53.73318761587143,63.48148316144943,60.21847039461136,45.91080051660538
6,51.620689898729324,58.604674994945526,35.372727394104004,40.20619589090347,51.280746936798096,47.87516430020332,30.08168449997902
7,42.056909054517746,47.984836876392365,25.13803730905056,30.656300514936447,38.56441596150398,33.1247456073761,23.491377964615822
8,36.554430305957794,35.34938558936119,20.256202071905136,24.979050412774086,30.106143295764923,24.531922236084938,17.807652816176414
9,32.828399151563644,27.56282949447632,17.151577323675156,20.76172250509262,23.837018579244614,19.373788610100746,13.822669371962547
10,29.497286081314087,23.610557183623314,15.079941734671593,17.396065339446068,18.570298120379448,15.252854213118553,10.701234303414822
11,26.946469008922577,20.900468558073044,13.310517147183418,14.750520214438438,14.207219123840332,12.18031545728445,8.374102726578712
12,24.9916370511055,19.07577621936798,12.004601120948792,12.620627790689468,10.599284656345844,9.956424944102764,6.615294948220253
13,23.362697944045067,17.498582020401955,10.814627461135387,10.492485411465168,7.925812557339668,8.14997062459588,5.327220570296049
14,21.963864043354988,16.254910841584206,9.941879384219646,8.555498473346233,6.324163783341646,6.553626019507647,4.351491644978523
15,20.737224742770195,15.157484352588654,9.026998683810234,7.159910932183266,5.318469658493996,5.2236420921981335,3.711869789287448
16,19.63266731798649,14.179279401898384,8.435126714408398,6.068662442266941,4.533060170710087,4.270379301160574,3.1542385183274746
17,18.583854541182518,13.615307189524174,7.566311776638031,5.259680714458227,3.951076492667198,3.5702942684292793,2.681360138580203
18,17.5813115388155,12.638205870985985,7.02592870593071,4.592998515814543,3.55395326577127,3.197980100288987,2.356551567092538
19,16.760044708848,11.739225581288338,6.408301919698715,4.048748012632132,3.0987336356192827,2.7133366279304028,2.036784131079912
